,CH1,CH4
Second,Volt,Volt
6.54400e-06,2.12e+00,2.12e+00, 
6.54420e-06,2.12e+00,2.10e+00, 
6.54440e-06,2.12e+00,2.12e+00, 
6.54460e-06,2.12e+00,2.12e+00, 
6.54480e-06,2.12e+00,2.12e+00, 
6.54500e-06,2.10e+00,2.12e+00, 
6.54520e-06,2.10e+00,2.10e+00, 
6.54540e-06,2.10e+00,2.10e+00, 
6.54560e-06,2.10e+00,2.10e+00, 
6.54580e-06,2.10e+00,2.10e+00, 
6.54600e-06,2.10e+00,2.10e+00, 
6.54620e-06,2.10e+00,2.10e+00, 
6.54640e-06,2.10e+00,2.12e+00, 
6.54660e-06,2.12e+00,2.12e+00, 
6.54680e-06,2.12e+00,2.12e+00, 
6.54700e-06,2.12e+00,2.12e+00, 
6.54720e-06,2.12e+00,2.12e+00, 
6.54740e-06,2.10e+00,2.14e+00, 
6.54760e-06,2.10e+00,2.14e+00, 
6.54780e-06,2.10e+00,2.14e+00, 
6.54800e-06,2.10e+00,2.14e+00, 
6.54820e-06,2.10e+00,2.12e+00, 
6.54840e-06,2.10e+00,2.14e+00, 
6.54860e-06,2.12e+00,2.14e+00, 
6.54880e-06,2.12e+00,2.14e+00, 
6.54900e-06,2.12e+00,2.14e+00, 
6.54920e-06,2.12e+00,2.12e+00, 
6.54940e-06,2.12e+00,2.12e+00, 
6.54960e-06,2.12e+00,2.12e+00, 
6.54980e-06,2.12e+00,2.12e+00, 
6.55000e-06,2.12e+00,2.12e+00, 
6.55020e-06,2.10e+00,2.12e+00, 
6.55040e-06,2.08e+00,2.12e+00, 
6.55060e-06,2.10e+00,2.12e+00, 
6.55080e-06,2.10e+00,2.12e+00, 
6.55100e-06,2.10e+00,2.12e+00, 
6.55120e-06,2.12e+00,2.10e+00, 
6.55140e-06,2.12e+00,2.10e+00, 
6.55160e-06,2.12e+00,2.10e+00, 
6.55180e-06,2.12e+00,2.10e+00, 
6.55200e-06,2.12e+00,2.10e+00, 
6.55220e-06,2.10e+00,2.10e+00, 
6.55240e-06,2.06e+00,2.12e+00, 
6.55260e-06,2.08e+00,2.12e+00, 
6.55280e-06,2.08e+00,2.12e+00, 
6.55300e-06,2.08e+00,2.12e+00, 
6.55320e-06,2.08e+00,2.12e+00, 
6.55340e-06,2.06e+00,2.12e+00, 
6.55360e-06,2.08e+00,2.12e+00, 
6.55380e-06,2.10e+00,2.12e+00, 
6.55400e-06,2.10e+00,2.12e+00, 
6.55420e-06,2.10e+00,2.10e+00, 
6.55440e-06,2.08e+00,2.12e+00, 
6.55460e-06,2.10e+00,2.12e+00, 
6.55480e-06,2.10e+00,2.12e+00, 
6.55500e-06,2.10e+00,2.12e+00, 
6.55520e-06,2.12e+00,2.12e+00, 
6.55540e-06,2.12e+00,2.12e+00, 
6.55560e-06,2.12e+00,2.12e+00, 
6.55580e-06,2.12e+00,2.12e+00, 
6.55600e-06,2.12e+00,2.12e+00, 
6.55620e-06,2.12e+00,2.12e+00, 
6.55640e-06,2.10e+00,2.12e+00, 
6.55660e-06,2.10e+00,2.12e+00, 
6.55680e-06,2.10e+00,2.12e+00, 
6.55700e-06,2.10e+00,2.12e+00, 
6.55720e-06,2.12e+00,2.12e+00, 
6.55740e-06,2.12e+00,2.12e+00, 
6.55760e-06,2.12e+00,2.12e+00, 
6.55780e-06,2.12e+00,2.12e+00, 
