,CH1
Second,Volt
1.91277e-02,8.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,6.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,4.00e-02, 
1.91277e-02,8.00e-02, 
1.91277e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,8.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,8.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,8.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,8.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,8.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,4.00e-02, 
1.91278e-02,6.00e-02, 
1.91278e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,8.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,8.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,6.00e-02, 
1.91279e-02,4.00e-02, 
1.91279e-02,8.00e-02, 
1.91279e-02,4.00e-02, 
1.91280e-02,6.00e-02, 
1.91280e-02,4.00e-02, 
1.91280e-02,6.00e-02, 
1.91280e-02,4.00e-02, 
1.91280e-02,4.00e-02, 
1.91280e-02,4.00e-02, 
1.91280e-02,4.00e-02, 
1.91280e-02,6.00e-02, 
1.91280e-02,4.00e-02, 
